PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Owner Type,Primary Source,Activity Status,Deactivation Date,Season Begin Date,Season End Date,Is Wholesaler,Pop Cat 5,Pop Cat 11,Population Served Count,Is Outstanding Performer,Outstanding Performer Date,Is Source Water Protected,Source Water Protection Date,Service Connections Count,Seasonal Startup System,Org Name,Admin Name,Email Address,Phone Number,Phone Ext Number,Fax Number,Alt Phone Number,Address Line1,Address Line2,City Name,State Code,Zip Code,Country Code,First Reported Date,Last Reported Date,GW or SW,Is School Or Daycare,GW or SW Code
MA4001002,ABINGTON ICE AND SUPPLY CO.,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,101-500,106,,,,,1,,ABINGTON ICE AND SUPPLY CO.,DONALD G JACOBSON,ERIK.JACOBSON2@VERIZON.NET,7813354484,,,,495 CENTRE AVENUE,,ABINGTON,MA,02351,US,31-AUG-1989,15-SEP-2021,Groundwater,N,GW
MA1024009,CEDARWOOD APARTMENTS,Region 1,Massachusetts,Community water system,State,Private,Ground water,Active,,,,N,<=500,<=100,25,,,,,2,,CHRIS ADAMS,CHRIS ADAMS,CHRIS.ASMGMT@GMAIL.COM,4138967364,,,,PO BOX 82,,BRIMFIELD,MA,01010,US,15-DEC-1993,15-SEP-2021,Groundwater,N,GW
MA4250009,ROCHESTER GOLF CLUB,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,59,,,,,1,,ROCHESTER GOLF CLUB,STUART R TALLMAN,STUARTTALLMAN@AOL.COM,5087635155,,,5083177004,323 ROUNSEVILLE RD,,ROCHESTER,MA,02770,US,17-OCT-1994,15-SEP-2021,Groundwater,N,GW
MA4052049,LANDMARK TRUST,Region 1,Massachusetts,Non-Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,100,,,,,3,,LANDMARK TRUST,RANDY A CLARKSON,RCLARKSON4855@GMAIL.COM; anthonyalonge@comcast.net,5088662631,,,5084006681,P.O. BOX 86,,NORTH CARVER,MA,02355,US,17-OCT-1994,15-SEP-2021,Groundwater,N,GW
MA3184000,MIDDLETON WATER DEPT.,Region 1,Massachusetts,Community water system,State,Local government,Surface water purchased,Active,,,,N,"3,301-10,000","3,301-10,000","7,075",,,,,1889,,MIDDLETON WATER DEPT.,KENNETH J GIBBONS,KEN.GIBBONS@MIDDLETONMA.GOV,9787770407,,9787740718,,195 NORTH MAIN ST,,MIDDLETON,MA,01949,US,15-DEC-1993,15-SEP-2021,Surface water,N,SW
MA3038022,INGALDSBY BAKERY AND FARM STAND,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,05-01,12-31,N,<=500,<=100,100,,,,,1,,INGALDBSY BAKERY & FARM STAND,THOMAS PRICE,SKYLAWISH@VERIZON.NET,9783522813,,9783524440,,C/O THOMAS PRICE,14 WASHINGTON STREET,BOXFORD,MA,01921,US,11-APR-2000,15-SEP-2021,Groundwater,N,GW
MA1053023,CRAB APPLE WHITEWATER,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,04-01,09-30,N,<=500,<=100,25,,,,,2,All Pressurized Including Offseason,CRAB APPLE WHITEWATER,JENNIFER MOONEY,FJMOONEY@MSN.COM,4136252288,,,,P.O. BOX 295,,CHARLEMONT,MA,01339,US,07-SEP-1995,15-SEP-2021,Groundwater,N,GW
MA2188005,SAINT AUGUSTINES PARISH,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,40,,,,,1,,ROMAN CATHOLIC BISHOP OF WORCESTER,VICTOR SIERRA,PARISHOFFICE@STAUGUSTINESMILLVILLE.COM,5088838794,,7744600177,,C/O ST. AUGUSTINES PARISH,P.O. BOX 710,MILLVILLE,MA,01529,US,15-DEC-1993,15-SEP-2021,Groundwater,N,GW
MA6000000,MWRA,Region 1,Massachusetts,Community water system,State,State government,Surface water,Active,,,,Y,">100,000",">1,000,000","2,550,000",,,,,1,,MWRA  CHARLESTOWN NAVY YARD,VALERIE MORAN,VALERIE.MORAN@MWRA.COM,6177884303,,6177884888,6173055813,100 FIRST AVENUE,CHARLESTOWN NAVY YARD,BOSTON,MA,02129,US,01-MAR-1988,15-SEP-2021,Surface water,N,SW
MA2054053,PRINDLE POND CONFERENCE CENTER,Region 1,Massachusetts,Non-Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,101-500,305,,,,,15,,PRINDLE POND CONFERENCE CENTER,GENE TRETHEWAY,GENE@NATURESCLASSROOM.ORG,5082483130,,5082482745,7746962167,C/O SANTOS IRREVOCABLE TRUST,19 HARRINGTON ROAD,CHARLTON,MA,01507,US,07-SEP-1995,15-SEP-2021,Groundwater,N,GW
MA3301043,PLAZA @ PONDVIEW PLACE LLC,Region 1,Massachusetts,Non-Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,30,,,,,1,,MR. JOE DIPILATO,JOSEPH DIPILATO,FRONTIERLAB1@MSN.COM,9784304657,,7817623223,,PLAZA @ PONDVIEW PLACE LLC,P.O. BOX 516,TYNGSBOROUGH,MA,01879,US,04-APR-1996,15-SEP-2021,Groundwater,N,GW
MA1148011,BERKSHIRE MALL LLC,Region 1,Massachusetts,Non-Transient non-community system,State,Private,Surface water purchased,Active,,01-01,12-31,N,<=500,101-500,500,,,,,5,,BERKSHIRE MALL LLC,VIJAYA KUMAR VIJAYA KUMAR,VKVEMULAPALLI@AOL.COM,4134454400,,4134423854,,OLD STATE ROAD,,LANESBOROUGH,MA,01237,US,04-APR-1996,15-SEP-2021,Surface water,N,SW
MA1319004,KEMSLEY ACADEMY INC,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,80,,,,,3,,KEMSLEY ACADEMY INC,MARK  JENEST,KEMSLEYSTAFF@GMAIL.COM,9785445888,,,4138348101,6 FARLEY RD,,WENDELL,MA,01379,US,07-SEP-1995,15-SEP-2021,Groundwater,Y,GW
MA4146043,COUNTY LAKE PROPERTIES,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,COUNTY LAKE PROPERTIES,RANDY A CLARKSON,RCLARKSON4855@GMAIL.COM,5086423663,,,5084006681,166 COUNTY STREET,,LAKEVILLE,MA,02347,US,07-SEP-1995,15-SEP-2021,Groundwater,N,GW
MA4146042,ROSE PROFESSIONAL PLAZA,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,ROSE PROFESSIONAL PLAZA,RANDY A CLARKSON,RCLARKSON4855@GMAIL.COM,5089475823,,5089475823,5084006681,53 TAUTON ST,,LAKEVILLE,MA,02347,US,07-SEP-1995,15-SEP-2021,Groundwater,N,GW
MA1043025,VIANT AS AND O HOLDING LLC,Region 1,Massachusetts,Non-Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,90,,,,,1,,VIANT AS AND O HOLDING LLC,LOU-ANN KRAUSE,LOU-ANN.KRAUS@VIANTMEDICAL.COM,4137528818,,,,68 MILL LANE RD,,BRIMFIELD,MA,01010,US,27-NOV-1996,15-SEP-2021,Groundwater,N,GW
MA4300033,BABES BAKERY AND RESTAURANT,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,08-08,10-08,N,<=500,101-500,200,,,,,1,Not Pressurized all Year,BABES BAKERY & RESTAURANT INC.,CLAUDIA BOESPFLUG,LOLACAPECOD@YAHOO.COM,5084877457,,,5147777467,P.O. BOX 352,,NORTH TRURO,MA,02652,US,16-JAN-1987,15-SEP-2021,Groundwater,N,GW
MA1223006,DANIEL SHAYS PACKAGE STORE,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,100,,,,,1,,DANIEL SHAYS PACKAGE STORE,PATRICIA PAYNTER,JAPDJAW@GMAIL.COM,9785446045,,,,297 DANIEL SHAYS HIGHWAY,,ORANGE,MA,01364,US,09-AUG-2000,15-SEP-2021,Groundwater,N,GW
MA1090012,JOHN ANDREWS RESTAURANT,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,50,,,,,1,,JOHN ANDREWS RESTAURANT,DANNY SMITH,INFO@JOHNANDREWSRESTAURANT.COM,4135283469,,4135283525,,P.O. BOX 296,ROUTE 23,SOUTH EGREMONT,MA,01258,US,09-AUG-2000,15-SEP-2021,Groundwater,N,GW
MA1113028,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,Region 1,Massachusetts,Non-Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,6,,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,BRUCE GORE,bruceg@aier.org,4135281216,,4135280103,,P.O. BOX 1000,,GREAT BARRINGTON,MA,01230,US,04-OCT-2002,15-SEP-2021,Groundwater,N,GW
MA3038026,BOXFORD POLICE STATION,Region 1,Massachusetts,Non-Transient non-community system,State,Local government,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,3,,BOXFORD POLICE STATION,CHRIS OLBROT,COLBROT@TOWN.BOXFORD.MA.US,9783526555,,9788878138,9783751711,285 IPSWICH RD,,BOXFORD,MA,01921,US,04-OCT-2002,15-SEP-2021,Groundwater,N,GW
MA1022030,BECKET TOWN HALL,Region 1,Massachusetts,Transient non-community system,State,Local government,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,BECKET TOWN HALL,WILLIAM CALDWELL,Administrator@townofbecket.org,4136238934,,4136236036,,C/O BOARD OF SELECTMEN,557 MAIN STREET,BECKET,MA,01223,US,04-OCT-2002,15-SEP-2021,Groundwater,N,GW
MA3330026,IDEAL CONCRETE BLOCK COMPANY,Region 1,Massachusetts,Non-Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,35,,,,,1,,IDEAL CONCRETE BLOCK COMPANY,JOHN BURGOYNE,OHNBSR@IDEALCONCRETEBLOCK.COM,9786923076,,9876920817,,P.O. BOX 747,,WESTFORD,MA,01886,US,27-AUG-2007,15-SEP-2021,Groundwater,N,GW
MA1135007,LAKE SIOG PARK,Region 1,Massachusetts,Transient non-community system,State,Federal government,Ground water,Active,,04-01,09-30,N,<=500,<=100,100,,,,,1,Not Pressurized all Year,ARMY CORPS OF ENGINEERS,KEITH W BEECHER KEITH W BEECHER,KEITH.W.BEECHER@USACE.ARMY.MIL,5083473705,,,9783188405,EAST BRIMFIELD LAKE,24 RIVERVIEW AVE,FISKDALE,MA,01518,US,19-JUN-1995,15-SEP-2021,Groundwater,N,GW
MA2054055,CHARLTON BEAGLE CLUB,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,CHARLTON BEAGLE CLUB,DAVID FOSKETT,CHRIS@MCCLUREENGINEERS.COM,5082485778,,,,P.O. BOX 431,,CHARLTON,MA,01507,US,31-DEC-1996,15-SEP-2021,Groundwater,N,GW
MA1143014,NORWICH LAKE FARM  UPPER SYSTEM,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,28,,,,,17,,NORWICH LAKE ASSOCIATION,TODD T SPOONER,LIZSPOONER@COMCAST.NET,4136678830,,,4136678783,101 NORWICH LAKE,,HUNTINGTON,MA,01050,US,11-APR-2000,15-SEP-2021,Groundwater,N,GW
MA2054029,"LFB USA, INC.",Region 1,Massachusetts,Non-Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,15,,"LFB USA, INC.",ROBERT FLETCHER,ROBERT.FLETCHER@LFB-USA.COM,5082489828,,5082485629,5083310271,300 CHARLTON RD,,SPENCER,MA,01562,US,29-FEB-1980,15-SEP-2021,Groundwater,N,GW
MA3051018,GLEASON PUBLIC LIBRARY,Region 1,Massachusetts,Transient non-community system,State,Local government,Ground water,Active,,01-01,12-31,N,<=500,<=100,80,,,,,1,,GLEASON PUBLIC LIBRARY,MARTHA FEENEY-PATTEN,DIRECTOR@GLEASONLIBRARY.ORG,9783716688,,,9783694898,22 BEDFORD ST,,CARLISLE,MA,01741,US,11-APR-2000,15-SEP-2021,Groundwater,N,GW
MA2028012,MEADOWBROOK VILLAGE CONDOMINIUMS,Region 1,Massachusetts,Community water system,State,Private,Ground water,Active,,,,N,<=500,101-500,150,,,,,61,,MEADOWBROOK VILLAGE SALISBURY MANAGEMENT,KENNETH HERGERT,ken@salisburymanagement.com,9788384020,,,5088694578,C/O KENNETH HERGERT,120 SHREWSBURY STREET,BOYLSTON,MA,01505,US,20-OCT-2001,15-SEP-2021,Groundwater,N,GW
MA1013000,ASHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,State government,Ground water,Active,,,,N,<=500,101-500,400,,,,,148,,ASHFIELD WATER DISTRICT,DAVID W COLLINS,ADMINISTRATOR@ASHFIELDWD.COM,4136283297,,4136281527,,PO BOX 219,,ASHFIELD,MA,01330,US,26-FEB-1979,15-SEP-2021,Groundwater,N,GW
MA1024000,BELCHERTOWN WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Local government,Ground water,Active,,,,N,"3,301-10,000","3,301-10,000","3,399",,,,,1259,,BELCHERTOWN WATER DISTRICT,KEVIN M WILLIAMS,ADMIN@BELCHERTOWNWATERDISTRICT.ORG,4133236987,,4133230043,4132462852,PO BOX 801,,BELCHERTOWN,MA,01007,US,26-FEB-1979,15-SEP-2021,Groundwater,N,GW
MA1024001,SPORTS HAVEN MOBILE HOME PARK,Region 1,Massachusetts,Community water system,State,Private,Ground water,Active,,,,N,<=500,101-500,107,,,,,51,,SPORTS HAVEN MOBILE HOME PARK,TOM . LOCH,COLDSPRING10@OUTLOOK.COM,4136558308,,,4133234200,PO BOX 437,,BELCHERTOWN,MA,01007,US,26-FEB-1979,15-SEP-2021,Groundwater,N,GW
MA1024002,PINE VALLEY PLANTATION,Region 1,Massachusetts,Community water system,State,Private,Ground water,Active,,,,N,"501-3,300","501-1,000",600,,,,,391,,PINE VALLEY PLANTATION,DICK  KELLIHER,office@pvpco-op.com,4133237206,,4133234483,,281 CHAUNCEY WALKER ST,OFC30,BELCHERTOWN,MA,01007,US,26-FEB-1979,15-SEP-2021,Groundwater,N,GW
MA4318047,CCNS MARCONI AREA,Region 1,Massachusetts,Non-Transient non-community system,State,Federal government,Ground water,Active,,01-01,12-31,N,"501-3,300","1,001-3,300","2,424",,,,,17,,CCNS  MARCONI AREA,RICHARD K MURPHY,Richard_K_Murphy@nps.gov,5089570717,,5083499052,,99 MARCONI SITE ROAD,ATTN: RICHARD MURPHY,WELLFLEET,MA,02667,US,29-FEB-1980,15-SEP-2021,Groundwater,N,GW
MA1111041,GRANBY PUBLIC SAFETY COMPLEX,Region 1,Massachusetts,Transient non-community system,State,Local government,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,GRANBY PUBLIC SAFETY COMPLEX,CHRISTOPHER MARTIN,CMARTIN@GRANBY-MA.GOV,4134677177,,4134672080,,C/O BOARD OF SELECTMEN,250 STATE STREET,GRANBY,MA,01033,US,14-SEP-2010,15-SEP-2021,Groundwater,N,GW
MA1268003,CLARKS CORVAIR PARTS,Region 1,Massachusetts,Non-Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,27,,,,,1,,CLARKS CORVAIR PARTS,CALVIN CLARK JR,,4136259092,,4136258498,,ROUTE 2   400 MOHAWK TRAIL,,SHELBURNE,MA,01370,US,29-FEB-1980,15-SEP-2021,Groundwater,N,GW
MA4261024,UPPER CAPE REGIONAL WATER COOPERATIVE,Region 1,Massachusetts,Community water system,State,Local government,Ground water,Active,,,,Y,"10,001-100,000","50,001-100,000","56,250",,,,,6,,UPPER CAPE REGIONAL WATER COOPERATIVE,DANIEL H MAHONEY,DMAHONEY@TOWNOFSANDWICH.NET,5088882775,,5088888313,,P.O. BOX 373,,MASHPEE,MA,02649,US,04-OCT-2002,15-SEP-2021,Groundwater,N,GW
MA4322004,SIMPSON SPRING (WEST BRIDGEWATER) VEND,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water purchased,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,SIMPSON SPRING COMPANY,JAMES BERTARELLI,JIMBERTARELLI@AOL.COM,5082384472,,5082385691,,P.O. BOX 328,,SOUTH EASTON,MA,02375,US,04-OCT-2002,15-SEP-2021,Groundwater,N,GW
